,dep_delay,arr_delay,cancel_times
WN,11.132819497000998,4.519644279965065,18275
AA,10.035396336291251,5.432064851861034,14945
VX,6.319139061321576,1.7279776132454965,433
B6,15.835463895428864,11.432515667085351,6419
OO,10.077417039606981,7.04414061062361,10610
YX,7.3086636818196675,3.076687458231232,10100
G4,12.923752252441018,9.98351752248088,769
NK,9.850791958312552,5.171453347805363,1737
DL,7.444506241045514,-0.2898254677449602,3528
UA,10.032101864554651,5.764874820097087,4903
EV,12.289559882364872,8.80069995879603,5670
9E,10.670500760147004,4.4527776720261585,6355
YV,11.19325121178581,8.853066085110045,5530
OH,11.9720729067809,8.237350630587244,11870
AS,2.472425006364092,-0.5015618633709086,2207
MQ,7.68136227597373,5.357279690119755,10655
HA,0.9135409054424785,0.8513103448275862,250
F9,19.664290629805528,14.213311436910223,2328
