Code,Description
ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
ABI,"Abilene, TX: Abilene Regional"
ABQ,"Albuquerque, NM: Albuquerque International Sunport"
ABR,"Aberdeen, SD: Aberdeen Regional"
ABY,"Albany, GA: Southwest Georgia Regional"
ACK,"Nantucket, MA: Nantucket Memorial"
ACT,"Waco, TX: Waco Regional"
ACV,"Arcata/Eureka, CA: California Redwood Coast Humboldt County"
ACY,"Atlantic City, NJ: Atlantic City International"
ADK,"Adak Island, AK: Adak"
ADQ,"Kodiak, AK: Kodiak Airport"
AEX,"Alexandria, LA: Alexandria International"
AGS,"Augusta, GA: Augusta Regional at Bush Field"
AKN,"King Salmon, AK: King Salmon Airport"
ALB,"Albany, NY: Albany International"
ALO,"Waterloo, IA: Waterloo Regional"
AMA,"Amarillo, TX: Rick Husband Amarillo International"
ANC,"Anchorage, AK: Ted Stevens Anchorage International"
APN,"Alpena, MI: Alpena County Regional"
ART,"Watertown, NY: Watertown International"
ASE,"Aspen, CO: Aspen Pitkin County Sardy Field"
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International"
ATW,"Appleton, WI: Appleton International"
AUS,"Austin, TX: Austin - Bergstrom International"
AVL,"Asheville, NC: Asheville Regional"
AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
AZA,"Phoenix, AZ: Phoenix - Mesa Gateway"
AZO,"Kalamazoo, MI: Kalamazoo/Battle Creek International"
BDL,"Hartford, CT: Bradley International"
BET,"Bethel, AK: Bethel Airport"
BFF,"Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
BFL,"Bakersfield, CA: Meadows Field"
BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
BGR,"Bangor, ME: Bangor International"
BHM,"Birmingham, AL: Birmingham-Shuttlesworth International"
BIL,"Billings, MT: Billings Logan International"
BIS,"Bismarck/Mandan, ND: Bismarck Municipal"
BJI,"Bemidji, MN: Bemidji Regional"
BKG,"Branson, MO: Branson Airport"
BLI,"Bellingham, WA: Bellingham International"
BLV,"Belleville, IL: Scott AFB/MidAmerica"
BMI,"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington"
BNA,"Nashville, TN: Nashville International"
BOI,"Boise, ID: Boise Air Terminal"
BOS,"Boston, MA: Logan International"
BPT,"Beaumont/Port Arthur, TX: Jack Brooks Regional"
BQK,"Brunswick, GA: Brunswick Golden Isles"
BQN,"Aguadilla, PR: Rafael Hernandez"
BRD,"Brainerd, MN: Brainerd Lakes Regional"
BRO,"Brownsville, TX: Brownsville South Padre Island International"
BRW,"Barrow, AK: Wiley Post/Will Rogers Memorial"
BTM,"Butte, MT: Bert Mooney"
BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field"
BTV,"Burlington, VT: Burlington International"
BUF,"Buffalo, NY: Buffalo Niagara International"
BUR,"Burbank, CA: Bob Hope"
BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
BZN,"Bozeman, MT: Bozeman Yellowstone International"
CAE,"Columbia, SC: Columbia Metropolitan"
CAK,"Akron, OH: Akron-Canton Regional"
